cpuT  cpuA  memT  memA


95    0     345   9     


96    -31   342   6     


90    1     343   7     


89    0     344   7     


79    0     344   7     


86    0     343   7     


63    0     343   7     


46    0     341   7     


44    0     343   7     


44    0     344   7     


44    0     338   7     


43    0     339   7     


53    0     337   7     


44    0     338   7     


43    0     340   7     


49    0     343   7     


45    0     333   7     


42    0     335   7     


44    0     336   7     


57    0     338   7     


42    0     339   7     


44    0     340   7     


44    0     334   7     


43    0     336   7     


43    0     337   7     


44    0     335   7     


43    0     336   7     


42    0     337   7     


42    0     331   7     


44    0     332   7     


43    0     334   7     


43    0     335   7     


44    0     336   7     


45    0     338   7     


44    0     331   7     


42    0     333   7     


44    0     334   7     


43    0     336   7     


43    0     338   7     


42    0     339   7     


45    0     340   7     


42    0     335   7     


41    0     337   7     


49    0     341   7     


42    0     342   7     


45    0     344   7     


43    0     340   7     


50    0     335   7     


72    27    354   23    


60    22    362   30    


61    13    363   30    


61    5     364   30    


62    5     364   30    


65    5     365   30    


66    5     366   30    


57    7     360   30    


55    7     362   30    


58    7     363   30    


56    6     365   30    


58    8     367   30    


53    5     368   30    


55    7     362   30    


56    7     364   30    


58    9     366   30    


54    7     363   30    


54    7     364   30    


56    6     366   30    


55    7     359   30    


57    7     360   30    


60    5     367   30    


65    7     368   30    


65    4     371   30    


57    7     373   30    


59    7     367   30    


56    6     368   30    


54    6     370   30    


55    7     372   31    


55    7     374   31    


56    6     375   31    


55    7     370   31    


60    6     372   31    


62    6     374   31    


60    4     375   31    


60    6     377   31    


50    2     379   32    


43    1     373   33    


42    2     375   33    


42    0     373   29    


45    1     374   30    


42    0     375   30    


42    0     377   30    


42    0     371   30    


41    0     372   30    


43    0     374   30    


41    0     376   30    


40    0     377   30    


44    0     379   30    


41    0     373   30    


43    0     375   30    


42    0     376   30    


51    1     378   30    


58    8     376   30    


63    10    376   30    


64    6     377   30    


65    5     377   30    


64    6     377   30    


58    6     377   30    


57    6     379   30    


54    7     373   30    


58    7     375   30    


55    6     376   30    


56    6     378   31    


56    7     380   31    


55    6     381   31    


53    6     376   31    


57    7     377   31    


56    7     375   31    


56    7     377   31    


55    7     378   31    


55    6     379   31    


61    6     373   31    


66    6     375   31    


57    6     376   31    


55    7     378   31    


56    6     379   31    


57    6     380   31    


54    7     375   31    


55    7     377   32    


54    6     378   32    


54    6     380   32    


56    7     382   32    


57    7     383   32    


60    4     378   32    


64    7     377   33    


62    4     375   33    


66    8     377   33    


65    15    377   34    


57    15    377   34    


56    6     368   30    


59    7     369   30    


55    6     371   30    


58    6     373   30    


58    7     374   30    


64    13    338   32    


46    2     332   32    


43    1     334   32    


41    1     335   32    


41    0     336   32    


43    0     337   32    


41    1     338   32    


40    1     339   32    


40    0     340   32    


40    0     330   32    


40    0     331   32    


37    0     332   32    


39    0     333   32    


40    0     334   32    


38    0     335   32    


41    0     336   32    


41    0     337   32    


40    0     330   32    


39    0     331   32    


40    0     332   32    


40    0     333   32    


43    0     334   32    


45    0     335   32    


56    13    337   32    


44    0     338   32    


42    0     331   32    


64    21    334   34    


46    7     336   34    


58    12    337   34    


61    21    339   35    


55    16    341   36    


43    2     342   36    


44    0     344   36    


38    0     344   36    


39    0     339   36    


52    11    340   36    


55    12    338   36    


61    9     339   36    


64    15    342   38    


55    17    343   38    


55    16    344   39    


44    6     346   40    


42    0     340   40    


39    0     341   40    


