[INFO ]15:40:51,027, AWT-EventQueue-0,[Class]USBGUI, [Method]actionPerformed, map success
[INFO ]15:42:02,429, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:02,441, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:03,431, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:03,442, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:04,432, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:04,444, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:05,433, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:05,445, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:06,434, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:06,447, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:07,435, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:07,487, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:07,684, Thread-2,[Class]Worker1, [Method]run, Receive Data:1377158,826035,2234,532739,37666
[INFO ]15:42:08,436, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:08,487, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:09,438, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:09,488, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:10,451, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:10,491, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:11,452, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:11,492, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:12,453, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:12,493, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:13,454, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:13,494, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:13,970, Thread-2,[Class]Worker1, [Method]run, Receive Data:1382211,829830,2235,530663,37666
[INFO ]15:42:13,972, Thread-2,[Class]Worker1, [Method]run, t_cpu:24.896101325944983
[INFO ]15:42:13,973, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.019790223629527013
[INFO ]15:42:13,974, Thread-2,[Class]Worker1, [Method]run, total_memory:518.2255859375
[INFO ]15:42:13,975, Thread-2,[Class]Worker1, [Method]run, app_memory:36.783203125
[INFO ]15:42:14,455, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:14,494, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:15,456, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:15,495, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:16,458, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:16,501, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:17,459, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:17,501, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:18,460, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:18,502, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:19,461, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:19,510, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:20,281, Thread-2,[Class]Worker1, [Method]run, Receive Data:1387198,833643,2236,530003,37666
[INFO ]15:42:20,282, Thread-2,[Class]Worker1, [Method]run, t_cpu:23.541207138560257
[INFO ]15:42:20,282, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.020052135552436335
[INFO ]15:42:20,283, Thread-2,[Class]Worker1, [Method]run, total_memory:517.5810546875
[INFO ]15:42:20,283, Thread-2,[Class]Worker1, [Method]run, app_memory:36.783203125
[INFO ]15:42:20,462, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:20,511, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:21,485, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:21,511, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:22,486, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:22,512, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:23,487, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:23,516, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:24,501, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:24,524, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:25,502, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:25,525, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:26,503, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:26,526, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:26,602, Thread-2,[Class]Worker1, [Method]run, Receive Data:1392198,837479,2237,529283,37666
[INFO ]15:42:26,603, Thread-2,[Class]Worker1, [Method]run, t_cpu:23.28
[INFO ]15:42:26,604, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.02
[INFO ]15:42:26,604, Thread-2,[Class]Worker1, [Method]run, total_memory:516.8779296875
[INFO ]15:42:26,604, Thread-2,[Class]Worker1, [Method]run, app_memory:36.783203125
[INFO ]15:42:27,505, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:27,528, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:28,506, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:28,528, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:29,507, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:29,529, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:30,508, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:30,530, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:56,491, AWT-EventQueue-0,[Class]USBGUI, [Method]actionPerformed, map success
[INFO ]15:42:59,674, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:42:59,683, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:00,676, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:00,684, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:01,677, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:01,716, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:02,543, Thread-2,[Class]Worker1, [Method]run, Receive Data:4589354,3203712,98,362941,11497
[INFO ]15:43:02,679, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:02,739, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:03,680, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:03,740, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:04,681, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:04,740, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:05,682, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:05,741, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:06,289, Thread-2,[Class]Worker1, [Method]run, Receive Data:4590506,3204100,110,365241,12217
[INFO ]15:43:06,291, Thread-2,[Class]Worker1, [Method]run, t_cpu:66.31944444444444
[INFO ]15:43:06,291, Thread-2,[Class]Worker1, [Method]run, app_cpu:1.0416666666666667
[INFO ]15:43:06,291, Thread-2,[Class]Worker1, [Method]run, total_memory:356.6806640625
[INFO ]15:43:06,292, Thread-2,[Class]Worker1, [Method]run, app_memory:11.9306640625
[INFO ]15:43:06,683, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:06,741, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:07,706, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:07,747, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:08,707, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:08,758, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:09,708, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:09,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:09,837, Thread-2,[Class]Worker1, [Method]run, Receive Data:4591501,3204434,110,366745,12217
[INFO ]15:43:09,838, Thread-2,[Class]Worker1, [Method]run, t_cpu:66.4321608040201
[INFO ]15:43:09,839, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.0
[INFO ]15:43:09,839, Thread-2,[Class]Worker1, [Method]run, total_memory:358.1494140625
[INFO ]15:43:09,840, Thread-2,[Class]Worker1, [Method]run, app_memory:11.9306640625
[INFO ]15:43:10,709, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:10,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:11,727, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:11,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:12,728, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:12,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:13,618, Thread-2,[Class]Worker1, [Method]run, Receive Data:4592552,3204829,110,376257,12217
[INFO ]15:43:13,620, Thread-2,[Class]Worker1, [Method]run, t_cpu:62.41674595623216
[INFO ]15:43:13,620, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.0
[INFO ]15:43:13,621, Thread-2,[Class]Worker1, [Method]run, total_memory:367.4384765625
[INFO ]15:43:13,621, Thread-2,[Class]Worker1, [Method]run, app_memory:11.9306640625
[INFO ]15:43:13,729, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:13,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:14,730, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:14,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:15,731, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:15,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:16,732, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:16,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:17,446, Thread-2,[Class]Worker1, [Method]run, Receive Data:4593732,3205209,110,385074,12217
[INFO ]15:43:17,447, Thread-2,[Class]Worker1, [Method]run, t_cpu:67.79661016949153
[INFO ]15:43:17,448, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.0
[INFO ]15:43:17,448, Thread-2,[Class]Worker1, [Method]run, total_memory:376.048828125
[INFO ]15:43:17,449, Thread-2,[Class]Worker1, [Method]run, app_memory:11.9306640625
[INFO ]15:43:17,733, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:17,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:18,734, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:18,777, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:19,736, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:19,778, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:20,737, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:20,779, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:21,091, Thread-2,[Class]Worker1, [Method]run, Receive Data:4594822,3205588,116,385533,12513
[INFO ]15:43:21,093, Thread-2,[Class]Worker1, [Method]run, t_cpu:65.22935779816514
[INFO ]15:43:21,094, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.5504587155963303
[INFO ]15:43:21,095, Thread-2,[Class]Worker1, [Method]run, total_memory:376.4970703125
[INFO ]15:43:21,095, Thread-2,[Class]Worker1, [Method]run, app_memory:12.2197265625
[INFO ]15:43:21,755, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:21,779, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:22,756, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:43:22,780, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:00,748, AWT-EventQueue-0,[Class]USBGUI, [Method]actionPerformed, map success
[INFO ]15:46:07,946, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:07,955, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:08,949, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:08,956, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:09,951, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:09,957, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:10,480, Thread-2,[Class]Worker1, [Method]run, Receive Data:4631287,3223000,118,361749,9441
[INFO ]15:46:10,953, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:10,958, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:11,955, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:11,959, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:12,957, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:12,960, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:13,959, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:13,961, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:14,407, Thread-2,[Class]Worker1, [Method]run, Receive Data:4632207,3223301,118,367205,9441
[INFO ]15:46:14,409, Thread-2,[Class]Worker1, [Method]run, t_cpu:67.28260869565217
[INFO ]15:46:14,410, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.0
[INFO ]15:46:14,410, Thread-2,[Class]Worker1, [Method]run, total_memory:358.5986328125
[INFO ]15:46:14,411, Thread-2,[Class]Worker1, [Method]run, app_memory:9.2197265625
[INFO ]15:46:14,963, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:14,973, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:15,964, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:16,005, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:16,965, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:17,006, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:17,966, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:18,019, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:18,045, Thread-2,[Class]Worker1, [Method]run, Receive Data:4633244,3223639,118,364833,9441
[INFO ]15:46:18,046, Thread-2,[Class]Worker1, [Method]run, t_cpu:67.4059787849566
[INFO ]15:46:18,046, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.0
[INFO ]15:46:18,047, Thread-2,[Class]Worker1, [Method]run, total_memory:356.2822265625
[INFO ]15:46:18,047, Thread-2,[Class]Worker1, [Method]run, app_memory:9.2197265625
[INFO ]15:46:18,967, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:19,020, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:19,981, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:20,025, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:20,982, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:21,026, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:21,983, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:22,028, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:22,066, Thread-2,[Class]Worker1, [Method]run, Receive Data:4634112,3223951,118,365981,9441
[INFO ]15:46:22,066, Thread-2,[Class]Worker1, [Method]run, t_cpu:64.0552995391705
[INFO ]15:46:22,067, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.0
[INFO ]15:46:22,067, Thread-2,[Class]Worker1, [Method]run, total_memory:357.4033203125
[INFO ]15:46:22,067, Thread-2,[Class]Worker1, [Method]run, app_memory:9.2197265625
[INFO ]15:46:22,984, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:23,030, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:23,985, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:24,030, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:24,986, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:25,031, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:25,763, Thread-2,[Class]Worker1, [Method]run, Receive Data:4635150,3224307,118,366429,9441
[INFO ]15:46:25,764, Thread-2,[Class]Worker1, [Method]run, t_cpu:65.70327552986512
[INFO ]15:46:25,765, Thread-2,[Class]Worker1, [Method]run, app_cpu:0.0
[INFO ]15:46:25,765, Thread-2,[Class]Worker1, [Method]run, total_memory:357.8408203125
[INFO ]15:46:25,766, Thread-2,[Class]Worker1, [Method]run, app_memory:9.2197265625
[INFO ]15:46:25,987, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:26,033, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:26,988, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:27,033, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:27,989, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:46:28,034, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:07,366, AWT-EventQueue-0,[Class]USBGUI, [Method]actionPerformed, map success
[INFO ]15:47:10,375, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:10,387, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:11,377, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:11,392, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:12,392, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:12,395, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:12,907, Thread-2,[Class]Worker1, [Method]run, Receive Data:4647261,3228660,119,368041,9441
[INFO ]15:47:13,396, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:13,399, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:14,397, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:14,401, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:15,398, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:15,404, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:16,399, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]15:47:16,442, Thread-3,[Class]CpuListener, [Method]run, UI_thread
