[INFO ]10:10:20,267, AWT-EventQueue-0,[Class]USBGUI, [Method]actionPerformed, map success
[INFO ]10:10:46,135, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:46,144, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:48,138, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:48,166, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:50,139, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:50,172, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:52,140, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:52,183, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:54,142, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:54,184, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:56,145, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:56,195, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:58,146, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:10:58,196, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:00,147, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:00,196, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:02,148, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:02,196, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:04,149, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:04,197, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:06,150, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:06,198, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:08,156, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:08,198, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:10,158, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:10,199, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:12,160, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:12,199, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:14,162, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:14,200, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:16,162, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:16,201, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:18,162, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:18,201, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:20,162, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:20,202, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:22,162, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:22,202, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:24,162, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:24,203, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:26,163, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:26,203, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:28,163, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:11:28,203, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:12:04,755, AWT-EventQueue-0,[Class]USBGUI, [Method]actionPerformed, map success
[INFO ]10:12:41,848, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:12:41,858, Thread-4,[Class]CpuListener, [Method]run, UI_thread
